,date,sitename,value,fips
16937,2020-04-13,Fire Station 13,0.0,39035
16938,2020-04-13,G.T.Craig,0.0,39035
16939,2020-04-13,Harvard Yards,1.0,39035
16940,2020-04-13,Columbus - Fairgrounds,0.0,39049
16941,2020-04-13,Cheshire,1.0,39053
16942,2020-04-13,Colerain,1.0,39061
16943,2020-04-13,Taft,0.0,39061
16944,2020-04-13,Steubenville,0.0,39081
16945,2020-04-13,Eastlake,0.0,39085
16946,2020-04-13,Painesville - JFS,0.0,39085
16947,2020-04-13,Ironton - ODOT,0.0,39087
16948,2020-04-13,Youngstown - Oakhill,2.0,39099
16949,2020-04-13,Hackney,0.0,39115
16950,2020-04-13,East High School,0.0,39153
16951,2020-04-13,Akron NIFH/STEM,0.0,39153
16952,2020-04-13,Kremlin,0.0,40047
16953,2020-04-13,Ponca City,-1.0,40071
16954,2020-04-13,Pryor,0.0,40097
16955,2020-04-13,Ft. Gibson,0.0,40101
16956,2020-04-13,North OKC,0.0,40109
16957,2020-04-13,Tulsa 0175,0.0,40143
16958,2020-04-13,Tulsa 0179,0.0,40143
16959,2020-04-13,Tulsa 0235,0.0,40143
16960,2020-04-13,Tulsa,0.0,40143
16961,2020-04-13,Portland - SE Lafayette,0.0,41051
16962,2020-04-13,NEW,0.0,42101
16963,2020-04-13,RIT,0.0,42101
16964,2020-04-13,E Providence,0.0,44007
16965,2020-04-13,Jenkins Avenue,0.0,45019
16966,2020-04-13,Cape Romain,0.0,45019
16967,2020-04-13,Greenville-ESC,0.0,45045
16968,2020-04-13,Irmo,0.0,45063
16969,2020-04-13,Parklane,0.0,45079
16970,2020-04-13,York Landfill,0.0,45091
16971,2020-04-13,Eastman Ross N Robinson,1.0,47163
16972,2020-04-13,Skyland Drive,0.0,47163
16973,2020-04-13,Underhill,0.0,50007
16974,2020-04-13,RUTLAND,0.0,50021
16975,2020-04-13,SHIRLEY PLANTATION,0.0,51036
16976,2020-04-13,FRANCONIA,0.0,51059
16977,2020-04-13,MATH & SCIENCE CTR,0.0,51087
16978,2020-04-13,EAST VINTON ELEMENTARY SCHOOL,0.0,51161
16979,2020-04-13,Rockingham,0.0,51165
16980,2020-04-13,HAMPTON,0.0,51650
16981,2020-04-13,NORFOLK - NOAA,0.0,51710
16982,2020-04-13,Cheeka Peak,0.0,53009
16983,2020-04-13,Seattle-Beacon Hill,0.0,53033
16984,2020-04-13,Anacortes-202 Ave (SO-AQS),0.0,53057
16985,2020-04-13,Bean,0.0,54057
16986,2020-04-13,GREEN BAY E HIGH,0.0,55009
16987,2020-04-13,MADISON EAST,0.0,55025
16988,2020-04-13,Horicon Wildlife Area,0.0,55027
16989,2020-04-13,POTAWATOMI ,0.0,55041
16990,2020-04-13,MILWAUKEE SER DNR,0.0,55079
16991,2020-04-13,RHINELANDER,0.0,55085
16992,2020-04-13,Sinclair In-Town,0.0,56007
16993,2020-04-13,Cheyenne NCore,0.0,56021
16994,2020-04-13,Moxa Arch,0.0,56037
16995,2020-04-13,Long Beach Signal Hill,0.0,84006
16996,2020-04-13,KS Hawaii,0.0,84015
16997,2020-04-13,East Chicago - Marina,0.0,84018
16998,2020-04-13,Reno4,0.0,84032
16999,2020-04-13,Lake Ilo,0.0,84038
17000,2020-04-13,Andrew Johnson Elem.,2.0,84047
17001,2020-04-13,Happy Hill,0.0,84047
17002,2020-04-13,Kaukauna,0.0,84055
17003,2020-04-13,Laramie County Mobile,0.0,84056
17004,2020-04-13,James Town Mobile,0.0,84056
17005,2020-04-13,Seedskadee,0.0,84056
17006,2020-04-14,NCore,2.0,02090
17007,2020-04-14,Miami Jones Ranch,2.0,04007
17008,2020-04-14,Miami Town Site,1.0,04007
17009,2020-04-14,Hayden,1.0,04007
17010,2020-04-14,Phoenix JLG Supersite,0.0,04013
17011,2020-04-14,Oakland West,0.0,06001
17012,2020-04-14,Concord,0.0,06013
17013,2020-04-14,Richmond - 7th St,1.0,06013
17014,2020-04-14,San Pablo - Rumrill,0.0,06013
17015,2020-04-14,Fresno - Garland,0.0,06019
17016,2020-04-14,Calexico - Ethel Street,0.0,06025
17017,2020-04-14,NCore - White Mountain Research Station - OVL,0.0,06027
17018,2020-04-14,Los Angeles - N. Main Street,0.0,06037
17019,2020-04-14,LAX-Hastings,0.0,06037
17020,2020-04-14,Riverside - Rubidoux,0.0,06065
17021,2020-04-14,Arden Arcade - Del Paso Manor,0.0,06067
17022,2020-04-14,Fontana - Arrow Highway,0.0,06071
17023,2020-04-14,Mesa 2 /Nipomo,0.0,06079
17024,2020-04-14,Vallejo,0.0,06095
17025,2020-04-14,Welby - 78th Ave. & Steele St.,0.0,08001
17026,2020-04-14,Denver - CAMP - 2105 Broadway,0.0,08031
17027,2020-04-14,La Casa NCORE - 4545 Navajo St.,0.0,08031
17028,2020-04-14,Colorado Springs - Highway 24,0.0,08041
17029,2020-04-14,Bridgeport,0.0,09001
