,county,state,population,full_county
1935,Hertford,NC,23677,"Hertford, NC"
1936,Hoke,NC,55234,"Hoke, NC"
1937,Hyde,NC,4937,"Hyde, NC"
1938,Iredell,NC,181806,"Iredell, NC"
1939,Jackson,NC,43938,"Jackson, NC"
1940,Johnston,NC,209339,"Johnston, NC"
1941,Jones,NC,9419,"Jones, NC"
1942,Lee,NC,61779,"Lee, NC"
1943,Lenoir,NC,55949,"Lenoir, NC"
1944,Lincoln,NC,86111,"Lincoln, NC"
1945,McDowell,NC,45756,"McDowell, NC"
1946,Macon,NC,35858,"Macon, NC"
1947,Madison,NC,21755,"Madison, NC"
1948,Martin,NC,22440,"Martin, NC"
1949,Mecklenburg,NC,1110356,"Mecklenburg, NC"
1950,Mitchell,NC,14964,"Mitchell, NC"
1951,Montgomery,NC,27173,"Montgomery, NC"
1952,Moore,NC,100880,"Moore, NC"
1953,Nash,NC,94298,"Nash, NC"
1954,New Hanover,NC,234473,"New Hanover, NC"
1955,Northampton,NC,19483,"Northampton, NC"
1956,Onslow,NC,197938,"Onslow, NC"
1957,Orange,NC,148476,"Orange, NC"
1958,Pamlico,NC,12726,"Pamlico, NC"
1959,Pasquotank,NC,39824,"Pasquotank, NC"
1960,Pender,NC,63060,"Pender, NC"
1961,Perquimans,NC,13463,"Perquimans, NC"
1962,Person,NC,39490,"Person, NC"
1963,Pitt,NC,180742,"Pitt, NC"
1964,Polk,NC,20724,"Polk, NC"
1965,Randolph,NC,143667,"Randolph, NC"
1966,Richmond,NC,44829,"Richmond, NC"
1967,Robeson,NC,130625,"Robeson, NC"
1968,Rockingham,NC,91010,"Rockingham, NC"
1969,Rowan,NC,142088,"Rowan, NC"
1970,Rutherford,NC,67029,"Rutherford, NC"
1971,Sampson,NC,63531,"Sampson, NC"
1972,Scotland,NC,34823,"Scotland, NC"
1973,Stanly,NC,62806,"Stanly, NC"
1974,Stokes,NC,45591,"Stokes, NC"
1975,Surry,NC,71783,"Surry, NC"
1976,Swain,NC,14271,"Swain, NC"
1977,Transylvania,NC,34385,"Transylvania, NC"
1978,Tyrrell,NC,4016,"Tyrrell, NC"
1979,Union,NC,239859,"Union, NC"
1980,Vance,NC,44535,"Vance, NC"
1981,Wake,NC,1111761,"Wake, NC"
1982,Warren,NC,19731,"Warren, NC"
1983,WA,NC,11580,"WA, NC"
1984,Watauga,NC,56177,"Watauga, NC"
1985,Wayne,NC,123131,"Wayne, NC"
1986,Wilkes,NC,68412,"Wilkes, NC"
1987,Wilson,NC,81801,"Wilson, NC"
1988,Yadkin,NC,37667,"Yadkin, NC"
1989,Yancey,NC,18069,"Yancey, NC"
1990,Adams,ND,2216,"Adams, ND"
1991,Barnes,ND,10415,"Barnes, ND"
1992,Benson,ND,6832,"Benson, ND"
1993,Billings,ND,928,"Billings, ND"
1994,ottineau,ND,6282,"ottineau, ND"
1995,Bowman,ND,3024,"Bowman, ND"
1996,Burke,ND,2115,"Burke, ND"
1997,Burleigh,ND,95626,"Burleigh, ND"
1998,Cass,ND,181923,"Cass, ND"
1999,Cavalier,ND,3762,"Cavalier, ND"
2000,Dickey,ND,4872,"Dickey, ND"
2001,Divide,ND,2264,"Divide, ND"
2002,Dunn,ND,4424,"Dunn, ND"
2003,Eddy,ND,2287,"Eddy, ND"
2004,Emmons,ND,3241,"Emmons, ND"
2005,Foster,ND,3210,"Foster, ND"
2006,Golden Valley,ND,1761,"Golden Valley, ND"
2007,Grand Forks,ND,69451,"Grand Forks, ND"
2008,Grant,ND,2274,"Grant, ND"
2009,Griggs,ND,2231,"Griggs, ND"
2010,Hettinger,ND,2499,"Hettinger, ND"
2011,Kidder,ND,2480,"Kidder, ND"
2012,LaMoure,ND,4046,"LaMoure, ND"
2013,Logan,ND,1850,"Logan, ND"
2014,McHenry,ND,5745,"McHenry, ND"
2015,McIntosh,ND,2497,"McIntosh, ND"
2016,McKenzie,ND,15024,"McKenzie, ND"
2017,McLean,ND,9450,"McLean, ND"
2018,Mercer,ND,8187,"Mercer, ND"
2019,Morton,ND,31364,"Morton, ND"
2020,Mountrail,ND,10545,"Mountrail, ND"
2021,Nelson,ND,2879,"Nelson, ND"
2022,Oliver,ND,1959,"Oliver, ND"
2023,Pembina,ND,6801,"Pembina, ND"
2024,Pierce,ND,3975,"Pierce, ND"
2025,Ramsey,ND,11519,"Ramsey, ND"
2026,Ransom,ND,5218,"Ransom, ND"
2027,Renville,ND,2327,"Renville, ND"
2028,Richland,ND,16177,"Richland, ND"
2029,Rolette,ND,14176,"Rolette, ND"
2030,Sargent,ND,3898,"Sargent, ND"
2031,Sheridan,ND,1315,"Sheridan, ND"
2032,Sioux,ND,4230,"Sioux, ND"
2033,Slope,ND,750,"Slope, ND"
2034,Stark,ND,31489,"Stark, ND"
2035,Steele,ND,1890,"Steele, ND"
2036,Stutsman,ND,20704,"Stutsman, ND"
2037,Towner,ND,2189,"Towner, ND"
2038,Traill,ND,8036,"Traill, ND"
2039,Walsh,ND,10641,"Walsh, ND"
2040,Ward,ND,67641,"Ward, ND"
2041,Wells,ND,3834,"Wells, ND"
2042,Williams,ND,37589,"Williams, ND"
2043,Adams,OH,27698,"Adams, OH"
2044,Allen,OH,102351,"Allen, OH"
2045,Ashland,OH,53484,"Ashland, OH"
2046,Ashtabula,OH,97241,"Ashtabula, OH"
2047,Athens,OH,65327,"Athens, OH"
2048,Auglaize,OH,45656,"Auglaize, OH"
2049,Belmont,OH,67006,"Belmont, OH"
2050,Brown,OH,43432,"Brown, OH"
2051,Butler,OH,383134,"Butler, OH"
2052,Carroll,OH,26914,"Carroll, OH"
2053,Champaign,OH,38885,"Champaign, OH"
2054,Clark,OH,134083,"Clark, OH"
2055,Clermont,OH,206428,"Clermont, OH"
2056,Clinton,OH,41968,"Clinton, OH"
2057,Columbiana,OH,101883,"Columbiana, OH"
2058,Coshocton,OH,36600,"Coshocton, OH"
2059,Crawford,OH,41494,"Crawford, OH"
2060,Cuyahoga,OH,1235072,"Cuyahoga, OH"
2061,Darke,OH,51113,"Darke, OH"
2062,Defiance,OH,38087,"Defiance, OH"
2063,DE,OH,209177,"DE, OH"
2064,Erie,OH,74266,"Erie, OH"
2065,Fairfield,OH,157574,"Fairfield, OH"
2066,Fayette,OH,28525,"Fayette, OH"
2067,Franklin,OH,1316756,"Franklin, OH"
2068,Fulton,OH,42126,"Fulton, OH"
2069,Gallia,OH,29898,"Gallia, OH"
2070,Geauga,OH,93649,"Geauga, OH"
2071,Greene,OH,168937,"Greene, OH"
2072,Guernsey,OH,38875,"Guernsey, OH"
2073,Hamilton,OH,817473,"Hamilton, OH"
2074,Hancock,OH,75783,"Hancock, OH"
2075,Hardin,OH,31365,"Hardin, OH"
2076,Harrison,OH,15040,"Harrison, OH"
2077,Henry,OH,27006,"Henry, OH"
2078,Highland,OH,43161,"Highland, OH"
2079,Hocking,OH,28264,"Hocking, OH"
2080,Holmes,OH,43960,"Holmes, OH"
2081,Huron,OH,58266,"Huron, OH"
2082,Jackson,OH,32413,"Jackson, OH"
2083,Jefferson,OH,65325,"Jefferson, OH"
2084,Knox,OH,62322,"Knox, OH"
2085,Lake,OH,230149,"Lake, OH"
2086,Lawrence,OH,59463,"Lawrence, OH"
2087,Licking,OH,176862,"Licking, OH"
2088,Logan,OH,45672,"Logan, OH"
2089,Lorain,OH,309833,"Lorain, OH"
2090,Lucas,OH,428348,"Lucas, OH"
2091,Madison,OH,44731,"Madison, OH"
2092,Mahoning,OH,228683,"Mahoning, OH"
2093,Marion,OH,65093,"Marion, OH"
2094,Medina,OH,179746,"Medina, OH"
2095,Meigs,OH,22907,"Meigs, OH"
2096,Mercer,OH,41172,"Mercer, OH"
2097,Miami,OH,106987,"Miami, OH"
2098,Monroe,OH,13654,"Monroe, OH"
2099,Montgomery,OH,531687,"Montgomery, OH"
2100,Morgan,OH,14508,"Morgan, OH"
2101,Morrow,OH,35328,"Morrow, OH"
2102,Muskingum,OH,86215,"Muskingum, OH"
2103,Noble,OH,14424,"Noble, OH"
2104,Ottawa,OH,40525,"Ottawa, OH"
2105,Paulding,OH,18672,"Paulding, OH"
2106,Perry,OH,36134,"Perry, OH"
2107,Pickaway,OH,58457,"Pickaway, OH"
2108,Pike,OH,27772,"Pike, OH"
2109,Portage,OH,162466,"Portage, OH"
2110,Preble,OH,40882,"Preble, OH"
2111,Putnam,OH,33861,"Putnam, OH"
2112,Richland,OH,121154,"Richland, OH"
2113,Ross,OH,76666,"Ross, OH"
2114,Sandusky,OH,58518,"Sandusky, OH"
2115,Scioto,OH,75314,"Scioto, OH"
2116,Seneca,OH,55178,"Seneca, OH"
2117,Shelby,OH,48590,"Shelby, OH"
2118,Stark,OH,370606,"Stark, OH"
2119,Summit,OH,541013,"Summit, OH"
2120,Trumbull,OH,197974,"Trumbull, OH"
2121,Tuscarawas,OH,91987,"Tuscarawas, OH"
2122,Union,OH,58988,"Union, OH"
2123,Van Wert,OH,28275,"Van Wert, OH"
2124,Vinton,OH,13085,"Vinton, OH"
2125,Warren,OH,234602,"Warren, OH"
2126,WA,OH,59911,"WA, OH"
2127,Wayne,OH,115710,"Wayne, OH"
2128,Williams,OH,36692,"Williams, OH"
2129,Wood,OH,130817,"Wood, OH"
2130,Wyandot,OH,21772,"Wyandot, OH"
2131,Adair,OK,22194,"Adair, OK"
2132,Alfalfa,OK,5702,"Alfalfa, OK"
2133,Atoka,OK,13758,"Atoka, OK"
2134,Beaver,OK,5311,"Beaver, OK"
2135,Beckham,OK,21859,"Beckham, OK"
2136,Blaine,OK,9429,"Blaine, OK"
2137,Bryan,OK,47995,"Bryan, OK"
2138,Caddo,OK,28762,"Caddo, OK"
2139,Canadian,OK,148306,"Canadian, OK"
2140,Carter,OK,48111,"Carter, OK"
2141,Cherokee,OK,48657,"Cherokee, OK"
2142,Choctaw,OK,14672,"Choctaw, OK"
2143,Cimarron,OK,2137,"Cimarron, OK"
2144,Cleveland,OK,284014,"Cleveland, OK"
2145,Coal,OK,5495,"Coal, OK"
2146,Comanche,OK,120749,"Comanche, OK"
2147,Cotton,OK,5666,"Cotton, OK"
2148,Craig,OK,14142,"Craig, OK"
2149,Creek,OK,71522,"Creek, OK"
2150,Custer,OK,29003,"Custer, OK"
2151,DE,OK,43009,"DE, OK"
2152,Dewey,OK,4891,"Dewey, OK"
2153,Ellis,OK,3859,"Ellis, OK"
2154,Garfield,OK,61056,"Garfield, OK"
2155,Garvin,OK,27711,"Garvin, OK"
2156,Grady,OK,55834,"Grady, OK"
2157,Grant,OK,4333,"Grant, OK"
2158,Greer,OK,5712,"Greer, OK"
2159,Harmon,OK,2653,"Harmon, OK"
2160,Harper,OK,3688,"Harper, OK"
2161,Haskell,OK,12627,"Haskell, OK"
2162,Hughes,OK,13279,"Hughes, OK"
2163,Jackson,OK,24530,"Jackson, OK"
2164,Jefferson,OK,6002,"Jefferson, OK"
2165,Johnston,OK,11085,"Johnston, OK"
2166,Kay,OK,43538,"Kay, OK"
2167,Kingfisher,OK,15765,"Kingfisher, OK"
2168,Kiowa,OK,8708,"Kiowa, OK"
2169,Latimer,OK,10073,"Latimer, OK"
2170,Le Flore,OK,49853,"Le Flore, OK"
2171,Lincoln,OK,34877,"Lincoln, OK"
2172,Logan,OK,48011,"Logan, OK"
2173,Love,OK,10253,"Love, OK"
2174,McClain,OK,40474,"McClain, OK"
2175,McCurtain,OK,32832,"McCurtain, OK"
2176,McIntosh,OK,19596,"McIntosh, OK"
2177,Major,OK,7629,"Major, OK"
2178,Marshall,OK,16931,"Marshall, OK"
2179,Mayes,OK,41100,"Mayes, OK"
2180,Murray,OK,14073,"Murray, OK"
2181,Muskogee,OK,67997,"Muskogee, OK"
2182,Noble,OK,11131,"Noble, OK"
2183,Nowata,OK,10076,"Nowata, OK"
2184,Okfuskee,OK,11993,"Okfuskee, OK"
2185,OK,OK,797434,"OK, OK"
2186,Okmulgee,OK,38465,"Okmulgee, OK"
2187,Osage,OK,46963,"Osage, OK"
2188,Ottawa,OK,31127,"Ottawa, OK"
2189,Pawnee,OK,16376,"Pawnee, OK"
2190,Payne,OK,81784,"Payne, OK"
2191,Pittsburg,OK,43654,"Pittsburg, OK"
2192,Pontotoc,OK,38284,"Pontotoc, OK"
2193,Pottawatomie,OK,72592,"Pottawatomie, OK"
2194,Pushmataha,OK,11096,"Pushmataha, OK"
2195,Roger Mills,OK,3583,"Roger Mills, OK"
2196,Rogers,OK,92459,"Rogers, OK"
2197,Seminole,OK,24258,"Seminole, OK"
2198,Sequoyah,OK,41569,"Sequoyah, OK"
2199,Stephens,OK,43143,"Stephens, OK"
2200,TX,OK,19983,"TX, OK"
2201,Tillman,OK,7250,"Tillman, OK"
2202,Tulsa,OK,651552,"Tulsa, OK"
2203,Wagoner,OK,81289,"Wagoner, OK"
2204,WA,OK,51527,"WA, OK"
2205,Washita,OK,10916,"Washita, OK"
2206,Woods,OK,8793,"Woods, OK"
2207,Woodward,OK,20211,"Woodward, OK"
2208,Baker,OR,16124,"Baker, OR"
2209,Benton,OR,93053,"Benton, OR"
2210,Clackamas,OR,418187,"Clackamas, OR"
2211,Clatsop,OR,40224,"Clatsop, OR"
2212,Columbia,OR,52354,"Columbia, OR"
2213,Coos,OR,64487,"Coos, OR"
2214,Crook,OR,24404,"Crook, OR"
2215,Curry,OR,22925,"Curry, OR"
2216,Deschutes,OR,197692,"Deschutes, OR"
2217,Douglas,OR,110980,"Douglas, OR"
2218,Gilliam,OR,1912,"Gilliam, OR"
2219,Grant,OR,7199,"Grant, OR"
2220,Harney,OR,7393,"Harney, OR"
2221,Hood River,OR,23382,"Hood River, OR"
2222,Jackson,OR,220944,"Jackson, OR"
2223,Jefferson,OR,24658,"Jefferson, OR"
2224,Josephine,OR,87487,"Josephine, OR"
2225,Klamath,OR,68238,"Klamath, OR"
2226,Lake,OR,7869,"Lake, OR"
2227,Lane,OR,382067,"Lane, OR"
2228,Lincoln,OR,49962,"Lincoln, OR"
2229,Linn,OR,129749,"Linn, OR"
2230,Malheur,OR,30571,"Malheur, OR"
2231,Marion,OR,347818,"Marion, OR"
2232,Morrow,OR,11603,"Morrow, OR"
2233,Multnomah,OR,812855,"Multnomah, OR"
2234,Polk,OR,86085,"Polk, OR"
2235,Sherman,OR,1780,"Sherman, OR"
2236,Tillamook,OR,27036,"Tillamook, OR"
2237,Umatilla,OR,77950,"Umatilla, OR"
2238,Union,OR,26835,"Union, OR"
2239,Wallowa,OR,7208,"Wallowa, OR"
2240,Wasco,OR,26682,"Wasco, OR"
2241,WA,OR,601592,"WA, OR"
2242,Wheeler,OR,1332,"Wheeler, OR"
2243,Yamhill,OR,107100,"Yamhill, OR"
2244,Adams,PA,103009,"Adams, PA"
2245,Allegheny,PA,1216045,"Allegheny, PA"
2246,Armstrong,PA,64735,"Armstrong, PA"
2247,Beaver,PA,163929,"Beaver, PA"
2248,Bedford,PA,47888,"Bedford, PA"
2249,Berks,PA,421164,"Berks, PA"
2250,Blair,PA,121829,"Blair, PA"
2251,Bradford,PA,60323,"Bradford, PA"
2252,Bucks,PA,628270,"Bucks, PA"
2253,Butler,PA,187853,"Butler, PA"
2254,Cambria,PA,130192,"Cambria, PA"
2255,Cameron,PA,4447,"Cameron, PA"
2256,Carbon,PA,64182,"Carbon, PA"
2257,Centre,PA,162385,"Centre, PA"
2258,Chester,PA,524989,"Chester, PA"
2259,Clarion,PA,38438,"Clarion, PA"
2260,Clearfield,PA,79255,"Clearfield, PA"
2261,Clinton,PA,38632,"Clinton, PA"
2262,Columbia,PA,64964,"Columbia, PA"
2263,Crawford,PA,84629,"Crawford, PA"
2264,Cumberland,PA,253370,"Cumberland, PA"
2265,Dauphin,PA,278299,"Dauphin, PA"
2266,DE,PA,566747,"DE, PA"
2267,Elk,PA,29910,"Elk, PA"
2268,Erie,PA,269728,"Erie, PA"
2269,Fayette,PA,129274,"Fayette, PA"
2270,Forest,PA,7247,"Forest, PA"
2271,Franklin,PA,155027,"Franklin, PA"
2272,Fulton,PA,14530,"Fulton, PA"
2273,Greene,PA,36233,"Greene, PA"
2274,Huntingdon,PA,45144,"Huntingdon, PA"
2275,IN,PA,84073,"IN, PA"
2276,Jefferson,PA,43425,"Jefferson, PA"
2277,Juniata,PA,24763,"Juniata, PA"
2278,Lackawanna,PA,209674,"Lackawanna, PA"
2279,Lancaster,PA,545724,"Lancaster, PA"
2280,Lawrence,PA,85512,"Lawrence, PA"
2281,Lebanon,PA,141793,"Lebanon, PA"
2282,Lehigh,PA,369318,"Lehigh, PA"
2283,Luzerne,PA,317417,"Luzerne, PA"
2284,Lycoming,PA,113299,"Lycoming, PA"
2285,McKean,PA,40625,"McKean, PA"
2286,Mercer,PA,109424,"Mercer, PA"
2287,Mifflin,PA,46138,"Mifflin, PA"
2288,Monroe,PA,170271,"Monroe, PA"
2289,Montgomery,PA,830915,"Montgomery, PA"
2290,Montour,PA,18230,"Montour, PA"
2291,Northampton,PA,305285,"Northampton, PA"
2292,Northumberland,PA,90843,"Northumberland, PA"
2293,Perry,PA,46272,"Perry, PA"
2294,Philadelphia,PA,1584064,"Philadelphia, PA"
2295,Pike,PA,55809,"Pike, PA"
2296,Potter,PA,16526,"Potter, PA"
2297,Schuylkill,PA,141359,"Schuylkill, PA"
2298,Snyder,PA,40372,"Snyder, PA"
2299,Somerset,PA,73447,"Somerset, PA"
2300,Sullivan,PA,6066,"Sullivan, PA"
2301,Susquehanna,PA,40328,"Susquehanna, PA"
2302,Tioga,PA,40591,"Tioga, PA"
2303,Union,PA,44923,"Union, PA"
2304,Venango,PA,50668,"Venango, PA"
2305,Warren,PA,39191,"Warren, PA"
2306,WA,PA,206865,"WA, PA"
2307,Wayne,PA,51361,"Wayne, PA"
2308,Westmoreland,PA,348899,"Westmoreland, PA"
2309,WY,PA,26794,"WY, PA"
2310,York,PA,449058,"York, PA"
2311,Bristol,RI,48479,"Bristol, RI"
2312,Kent,RI,164292,"Kent, RI"
2313,Newport,RI,82082,"Newport, RI"
2314,Providence,RI,638931,"Providence, RI"
2315,WA,RI,125577,"WA, RI"
2316,Abbeville,SC,24527,"Abbeville, SC"
2317,Aiken,SC,170872,"Aiken, SC"
2318,Allendale,SC,8688,"Allendale, SC"
2319,Anderson,SC,202558,"Anderson, SC"
2320,Bamberg,SC,14066,"Bamberg, SC"
2321,Barnwell,SC,20866,"Barnwell, SC"
2322,Beaufort,SC,192122,"Beaufort, SC"
2323,Berkeley,SC,227907,"Berkeley, SC"
2324,Calhoun,SC,14553,"Calhoun, SC"
2325,Charleston,SC,411406,"Charleston, SC"
2326,Cherokee,SC,57300,"Cherokee, SC"
2327,Chester,SC,32244,"Chester, SC"
2328,Chesterfield,SC,45650,"Chesterfield, SC"
2329,Clarendon,SC,33745,"Clarendon, SC"
2330,Colleton,SC,37677,"Colleton, SC"
2331,Darlington,SC,66618,"Darlington, SC"
2332,Dillon,SC,30479,"Dillon, SC"
2333,Dorchester,SC,162809,"Dorchester, SC"
2334,Edgefield,SC,27260,"Edgefield, SC"
2335,Fairfield,SC,22347,"Fairfield, SC"
2336,Florence,SC,138293,"Florence, SC"
2337,Georgetown,SC,62680,"Georgetown, SC"
2338,Greenville,SC,523542,"Greenville, SC"
2339,Greenwood,SC,70811,"Greenwood, SC"
2340,Hampton,SC,19222,"Hampton, SC"
2341,Horry,SC,354081,"Horry, SC"
2342,Jasper,SC,30073,"Jasper, SC"
2343,Kershaw,SC,66551,"Kershaw, SC"
2344,Lancaster,SC,98012,"Lancaster, SC"
2345,Laurens,SC,67493,"Laurens, SC"
2346,Lee,SC,16828,"Lee, SC"
2347,Lexington,SC,298750,"Lexington, SC"
2348,McCormick,SC,9463,"McCormick, SC"
2349,Marion,SC,30657,"Marion, SC"
2350,Marlboro,SC,26118,"Marlboro, SC"
2351,Newberry,SC,38440,"Newberry, SC"
2352,Oconee,SC,79546,"Oconee, SC"
2353,Orangeburg,SC,86175,"Orangeburg, SC"
2354,Pickens,SC,126884,"Pickens, SC"
2355,Richland,SC,415759,"Richland, SC"
2356,Saluda,SC,20473,"Saluda, SC"
2357,Spartanburg,SC,319785,"Spartanburg, SC"
2358,Sumter,SC,106721,"Sumter, SC"
2359,Union,SC,27316,"Union, SC"
2360,Williamsburg,SC,30368,"Williamsburg, SC"
2361,York,SC,280979,"York, SC"
2362,Aurora,SD,2751,"Aurora, SD"
2363,Beadle,SD,18453,"Beadle, SD"
2364,Bennett,SD,3365,"Bennett, SD"
2365,Bon Homme,SD,6901,"Bon Homme, SD"
2366,Brookings,SD,35077,"Brookings, SD"
2367,Brown,SD,38839,"Brown, SD"
2368,Brule,SD,5297,"Brule, SD"
2369,Buffalo,SD,1962,"Buffalo, SD"
2370,Butte,SD,10429,"Butte, SD"
2371,Campbell,SD,1376,"Campbell, SD"
2372,Charles Mix,SD,9292,"Charles Mix, SD"
2373,Clark,SD,3736,"Clark, SD"
2374,Clay,SD,14070,"Clay, SD"
2375,Codington,SD,28009,"Codington, SD"
2376,Corson,SD,4086,"Corson, SD"
2377,Custer,SD,8972,"Custer, SD"
2378,Davison,SD,19775,"Davison, SD"
2379,Day,SD,5424,"Day, SD"
2380,Deuel,SD,4351,"Deuel, SD"
2381,Dewey,SD,5892,"Dewey, SD"
2382,Douglas,SD,2921,"Douglas, SD"
2383,Edmunds,SD,3829,"Edmunds, SD"
2384,Fall River,SD,6713,"Fall River, SD"
2385,Faulk,SD,2299,"Faulk, SD"
2386,Grant,SD,7052,"Grant, SD"
2387,Gregory,SD,4185,"Gregory, SD"
2388,Haakon,SD,1899,"Haakon, SD"
2389,Hamlin,SD,6164,"Hamlin, SD"
2390,Hand,SD,3191,"Hand, SD"
2391,Hanson,SD,3453,"Hanson, SD"
2392,Harding,SD,1298,"Harding, SD"
2393,Hughes,SD,17526,"Hughes, SD"
2394,Hutchinson,SD,7291,"Hutchinson, SD"
2395,Hyde,SD,1301,"Hyde, SD"
2396,Jackson,SD,3344,"Jackson, SD"
2397,Jerauld,SD,2013,"Jerauld, SD"
2398,Jones,SD,903,"Jones, SD"
2399,Kingsbury,SD,4939,"Kingsbury, SD"
2400,Lake,SD,12797,"Lake, SD"
2401,Lawrence,SD,25844,"Lawrence, SD"
2402,Lincoln,SD,61128,"Lincoln, SD"
2403,Lyman,SD,3781,"Lyman, SD"
2404,McCook,SD,5586,"McCook, SD"
2405,McPherson,SD,2379,"McPherson, SD"
2406,Marshall,SD,4935,"Marshall, SD"
2407,Meade,SD,28332,"Meade, SD"
2408,Mellette,SD,2061,"Mellette, SD"
2409,Miner,SD,2216,"Miner, SD"
2410,Minnehaha,SD,193134,"Minnehaha, SD"
2411,Moody,SD,6576,"Moody, SD"
2412,Oglala Lakota,SD,14177,"Oglala Lakota, SD"
2413,Pennington,SD,113775,"Pennington, SD"
2414,Perkins,SD,2865,"Perkins, SD"
2415,Potter,SD,2153,"Potter, SD"
2416,Roberts,SD,10394,"Roberts, SD"
2417,Sanborn,SD,2344,"Sanborn, SD"
2418,Spink,SD,6376,"Spink, SD"
2419,Stanley,SD,3098,"Stanley, SD"
2420,Sully,SD,1391,"Sully, SD"
2421,Todd,SD,10177,"Todd, SD"
2422,Tripp,SD,5441,"Tripp, SD"
2423,Turner,SD,8384,"Turner, SD"
2424,Union,SD,15932,"Union, SD"
2425,Walworth,SD,5435,"Walworth, SD"
2426,Yankton,SD,22814,"Yankton, SD"
2427,Ziebach,SD,2756,"Ziebach, SD"
2428,Anderson,TN,76978,"Anderson, TN"
2429,Bedford,TN,49713,"Bedford, TN"
2430,Benton,TN,16160,"Benton, TN"
2431,Bledsoe,TN,15064,"Bledsoe, TN"
2432,Blount,TN,133088,"Blount, TN"
2433,Bradley,TN,108110,"Bradley, TN"
2434,Campbell,TN,39842,"Campbell, TN"
2435,Cannon,TN,14678,"Cannon, TN"
2436,Carroll,TN,27767,"Carroll, TN"
2437,Carter,TN,56391,"Carter, TN"
2438,Cheatham,TN,40667,"Cheatham, TN"
2439,Chester,TN,17297,"Chester, TN"
2440,Claiborne,TN,31959,"Claiborne, TN"
2441,Clay,TN,7615,"Clay, TN"
2442,Cocke,TN,36004,"Cocke, TN"
2443,Coffee,TN,56520,"Coffee, TN"
2444,Crockett,TN,14230,"Crockett, TN"
2445,Cumberland,TN,60520,"Cumberland, TN"
2446,Davidson,TN,694144,"Davidson, TN"
2447,Decatur,TN,11663,"Decatur, TN"
2448,DeKalb,TN,20490,"DeKalb, TN"
2449,Dickson,TN,53948,"Dickson, TN"
2450,Dyer,TN,37159,"Dyer, TN"
2451,Fayette,TN,41133,"Fayette, TN"
2452,Fentress,TN,18523,"Fentress, TN"
2453,Franklin,TN,42208,"Franklin, TN"
2454,Gibson,TN,49133,"Gibson, TN"
2455,Giles,TN,29464,"Giles, TN"
2456,Grainger,TN,23320,"Grainger, TN"
2457,Greene,TN,69069,"Greene, TN"
2458,Grundy,TN,13427,"Grundy, TN"
2459,Hamblen,TN,64934,"Hamblen, TN"
2460,Hamilton,TN,367804,"Hamilton, TN"
2461,Hancock,TN,6620,"Hancock, TN"
2462,Hardeman,TN,25050,"Hardeman, TN"
2463,Hardin,TN,25652,"Hardin, TN"
2464,Hawkins,TN,56786,"Hawkins, TN"
2465,Haywood,TN,17304,"Haywood, TN"
2466,Henderson,TN,28117,"Henderson, TN"
2467,Henry,TN,32345,"Henry, TN"
2468,Hickman,TN,25178,"Hickman, TN"
2469,Houston,TN,8201,"Houston, TN"
2470,Humphreys,TN,18582,"Humphreys, TN"
2471,Jackson,TN,11786,"Jackson, TN"
2472,Jefferson,TN,54495,"Jefferson, TN"
2473,Johnson,TN,17788,"Johnson, TN"
2474,Knox,TN,470313,"Knox, TN"
2475,Lake,TN,7016,"Lake, TN"
2476,Lauderdale,TN,25633,"Lauderdale, TN"
2477,Lawrence,TN,44142,"Lawrence, TN"
2478,Lewis,TN,12268,"Lewis, TN"
2479,Lincoln,TN,34366,"Lincoln, TN"
2480,Loudon,TN,54068,"Loudon, TN"
2481,McMinn,TN,53794,"McMinn, TN"
2482,McNairy,TN,25694,"McNairy, TN"
2483,Macon,TN,24602,"Macon, TN"
2484,Madison,TN,97984,"Madison, TN"
2485,Marion,TN,28907,"Marion, TN"
2486,Marshall,TN,34375,"Marshall, TN"
2487,Maury,TN,96387,"Maury, TN"
2488,Meigs,TN,12422,"Meigs, TN"
2489,Monroe,TN,46545,"Monroe, TN"
2490,Montgomery,TN,208993,"Montgomery, TN"
2491,Moore,TN,6488,"Moore, TN"
2492,Morgan,TN,21403,"Morgan, TN"
2493,Obion,TN,30069,"Obion, TN"
2494,Overton,TN,22241,"Overton, TN"
2495,Perry,TN,8076,"Perry, TN"
2496,Pickett,TN,5048,"Pickett, TN"
2497,Polk,TN,16832,"Polk, TN"
2498,Putnam,TN,80245,"Putnam, TN"
2499,Rhea,TN,33167,"Rhea, TN"
2500,Roane,TN,53382,"Roane, TN"
2501,Robertson,TN,71813,"Robertson, TN"
2502,Rutherford,TN,332285,"Rutherford, TN"
2503,Scott,TN,22068,"Scott, TN"
2504,Sequatchie,TN,15026,"Sequatchie, TN"
2505,Sevier,TN,98250,"Sevier, TN"
2506,Shelby,TN,937166,"Shelby, TN"
2507,Smith,TN,20157,"Smith, TN"
2508,Stewart,TN,13715,"Stewart, TN"
2509,Sullivan,TN,158348,"Sullivan, TN"
2510,Sumner,TN,191283,"Sumner, TN"
2511,Tipton,TN,61599,"Tipton, TN"
2512,Trousdale,TN,11284,"Trousdale, TN"
2513,Unicoi,TN,17883,"Unicoi, TN"
2514,Union,TN,19972,"Union, TN"
2515,Van Buren,TN,5872,"Van Buren, TN"
2516,Warren,TN,41277,"Warren, TN"
2517,WA,TN,129375,"WA, TN"
2518,Wayne,TN,16673,"Wayne, TN"
