,date,sitename,value,aqi_value,aqi_category,fips
282,2020-02-02,Alamo Lake,5.0,6,0,04012
283,2020-02-02,StJohns,16.0,15,0,04013
284,2020-02-02,Senior Center,18.0,18,0,04013
285,2020-02-02,LEHI,14.0,14,0,04013
286,2020-02-02,High School,33.0,31,0,04013
287,2020-02-02,Phoenix JLG Supersite,24.0,23,0,04013
288,2020-02-02,Bullhead City,11.0,11,0,04015
289,2020-02-02,Ajo,8.0,7,0,04019
290,2020-02-02,Orange Grove,24.0,23,0,04019
291,2020-02-02,Rillito,26.0,24,0,04019
292,2020-02-02,South Tucson,22.0,20,0,04019
293,2020-02-02,Green Valley,6.0,6,0,04019
294,2020-02-02,Geronimo,26.0,24,0,04019
295,2020-02-02,Sacaton,12.0,12,0,04021
296,2020-02-02,CasaBlanca,27.0,25,0,04021
297,2020-02-02,Nogales Post Office,67.0,57,1,04023
298,2020-02-02,Yuma Supersite,15.0,14,0,04027
299,2020-02-02,Chico -  East,12.0,12,0,06007
300,2020-02-02,San Andreas,11.0,11,0,06009
301,2020-02-02,Colusa - Sunrise Blvd.,10.0,9,0,06011
302,2020-02-02,South Lake Tahoe - Sandy Way,10.0,9,0,06017
303,2020-02-02,Fresno - Garland,24.0,23,0,06019
304,2020-02-02,Willows-Colusa,7.0,7,0,06021
305,2020-02-02,Jacobs,17.0,17,0,06023
306,2020-02-02,Calexico - Ethel Street,42.0,39,0,06025
307,2020-02-02,Brawley - 220 Main Street,26.0,25,0,06025
308,2020-02-02,El Centro - 9th Street,30.0,28,0,06025
309,2020-02-02,Westmorland - 570 Cook St,75.0,61,1,06025
310,2020-02-02,Niland - English Road,20.0,19,0,06025
311,2020-02-02,NCore - White Mountain Research Station - OVL,5.0,5,0,06027
312,2020-02-02,Lone Pine,45.0,43,0,06027
313,2020-02-02,Dirty Socks,562.0,459,5,06027
314,2020-02-02,Shell Cut,538.0,434,5,06027
315,2020-02-02,Bill Stanley,39.0,37,0,06027
316,2020-02-02,Lizard Tail,212.0,129,2,06027
317,2020-02-02,North Beach,144.0,96,1,06027
318,2020-02-02,Mill Site,362.0,211,4,06027
319,2020-02-02,Coso Junction,109.0,78,1,06027
320,2020-02-02,Keeler,253.0,150,2,06027
321,2020-02-02,Mojave - 923 Poole St.,28.0,26,0,06029
322,2020-02-02,Glendora - Laurel,13.0,13,0,06037
323,2020-02-02,Los Angeles - N. Main Street,28.0,26,0,06037
324,2020-02-02,Lancaster-Division,35.0,33,0,06037
325,2020-02-02,Madera-City,17.0,17,0,06039
326,2020-02-02,Yosemite Village - Visitor Center,14.0,14,0,06043
